Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
16-Jan,7.5,7.2,7.2,9.1,6.8,8.7,8.4,7.7,7.6,,7.8
16-Feb,8.9,7.9,7.8,7.5,7.5,7.8,8.3,8,8.3,,8
16-Mar,7.6,8.4,8.3,7.6,8,7.6,8.1,7.9,8.5,,8
16-Apr,8.6,8.3,8.6,7.5,8.3,8.6,8.1,8.3,8.5,,8.3
16-May,6.4,8.4,6.8,7.1,7.9,6.9,7.7,7.5,10,,7.6
16-Jun,14.4,8.3,9.5,9.5,8.9,7.6,7.7,8.9,9.1,,9.3
16-Jul,7.3,9.7,15.9,6.3,8.1,4,7.5,7.8,9.4,,8.4
16-Aug,5.5,6.8,7.3,6.6,7.6,6.5,7.4,7.3,6.7,,6.9
16-Sep,7.3,9,13.5,7.8,8.8,8.7,10.2,12.1,9.4,,9.6
16-Oct,7.3,10,8.9,6.3,8.5,5.9,5.8,7.6,9.3,,7.7
16-Nov,7.8,7.2,7.4,7.5,8.1,6.8,9.8,7.9,6.6,,7.7
16-Dec,6.5,7.6,7.7,6.8,7.2,9.6,8.5,7.7,7.6,,7.7
17-Jan,7.9,7.7,8.1,8.5,7.6,8.2,7.7,9.6,7.7,,8.1
17-Feb,7.6,7.6,7.3,9,7.8,8.8,7.8,7.7,7.8,,7.9
17-Mar,8.9,9.4,8.4,9,9.1,9.1,9.6,8.5,9.4,,9
17-Apr,6.3,7.2,6.9,6.3,7.1,6.9,6.9,7,7.4,,6.9
17-May,7.3,7.7,8.4,5.5,7.5,7.9,7,7.6,8.4,,7.5
17-Jun,8.7,7.1,8.1,9.7,8.6,8.7,9,10.2,8.6,,8.7
17-Jul,8.7,6.9,9,8.6,8.1,7.4,8,8.1,9.3,,8.2
17-Aug,8.4,9.6,13.1,11,11.6,9.6,9.4,14.1,9.9,,10.7
17-Sep,7.3,9.5,17.2,7.7,10.3,10.4,10.9,8.7,9.7,,10.2
17-Oct,6.9,8.4,7.6,9.3,10.8,5.6,7.8,7.8,8.5,,8.1
17-Nov,6.6,8.6,6.5,5.9,7.8,6.2,7.5,7.4,8.8,,7.3
17-Dec,6.6,8.6,6.5,5.9,7.8,6.2,7.5,7.4,8.8,,7.3
18-Jan,7.8,8.1,8.1,7.4,7.6,8.6,8.6,8.4,8.4,,8.1
18-Feb,8.3,8.5,8.3,8.7,7.7,9.7,9.7,9.2,8.4,,8.7
18-Mar,8.6,8.4,8.1,9.5,8.2,8.2,8.7,8.2,8.6,,8.5
18-Apr,7.7,8.1,8,6.8,7.9,8.4,8.6,7.9,8.3,,8
18-May,8.6,7.5,7,10.6,8.3,8.3,8.4,7.2,7.9,,8.2
18-Jun,7.6,15.8,8.3,10,9.3,8.2,8.2,8.6,16.1,,10.2
18-Jul,9,8.3,9,7.8,8.1,7.9,8.1,8,9.5,,8.4
18-Aug,5.6,6.8,8.5,8.2,6.4,7.6,8.2,7.8,8.8,,7.5
18-Sep,10.5,9.5,8.8,8.5,9.9,10.6,10.7,8.6,9.1,,9.6
18-Oct,7.1,7.6,6.6,6.9,8.4,8.2,8.4,7.5,8.3,,7.7
18-Nov,6.9,7.3,7.2,10,6.3,6.8,7.2,6.7,7.6,,7.3
18-Dec,8.1,7.7,8.1,8,6.9,8.7,8.4,8.4,8.6,,8.1
19-Jan,8.9,7.7,7.9,9,7.4,8.5,7.6,8.2,7.8,,8.1
19-Feb,8,7.9,7.5,6.6,8.2,8.3,8.3,8.3,7.9,,7.9
19-Mar,6.9,8.1,8,7.3,7.5,8.7,7.7,8.9,8.4,,7.9
19-Apr,7.8,7.5,7.3,7.3,7.4,8.2,7.6,7.3,7.8,,7.6
19-May,10.1,5.9,6.6,8.8,6.2,4.5,7.4,6.6,7.3,,7
19-Jun,10.4,7.2,10.6,7.8,8.8,11.3,9.8,8.1,12.1,,9.6
19-Jul,5.7,8.9,7.1,7.5,7.2,7.3,8.1,7,10.7,,7.7
19-Aug,6.5,7.8,7.3,7.1,7.4,6.6,7.1,7.7,8.1,,7.3
19-Sep,6.5,6.8,6.4,7.6,8,6.5,8.4,7.4,7.7,,7.3
19-Oct,6.6,7.5,7.9,7.6,7,6.7,7.7,7.9,7.5,,7.4
19-Nov,7.1,8.6,8.8,12.8,8,6.6,10,8.4,9.2,,8.8
19-Dec,6.9,6.9,6.9,7.3,7.2,6.9,7.2,7.3,7.5,,7.1
20-Jan,7.1,7.6,7.5,7.5,7.6,7.9,8.3,7.1,7.4,,7.6
20-Feb,7.3,7.7,7,8.1,8.3,7.6,8,7.7,7.8,,7.7
20-Mar,7.7,8.2,7.7,7.5,8.2,8.2,8.6,7.8,8.2,,8
20-Apr,8,8,7.4,8.2,8.4,8.2,8.5,8.2,8,,8.1
20-May,8.2,7.7,7,8.9,8.6,8.2,8.5,8.5,7.8,,8.2
20-Jun,8.5,7.5,6.7,9.7,8.8,8.3,8.4,8.9,7.6,,8.2
20-Jul,8.8,7.3,6.3,10.4,8.9,8.3,8.3,9.2,7.3,,8.3
20-Aug,9,7,6,11.1,9.1,8.3,8.3,9.6,7.1,,8.4
20-Sep,9.3,6.8,5.6,11.8,9.3,8.3,8.2,9.9,6.9,,8.5
20-Oct,7.3,7,7.8,7.6,7.3,7.2,7.3,6.8,7.5,,7.3
20-Nov,6.8,7.2,8.3,7.8,6.5,6.4,7.2,6.7,7.9,,7.2
20-Dec,7.1,7.9,8.3,7.7,8.7,8.9,7.3,8.3,7.3,,7.9
21-Jan,7.8,8.6,7.5,7.4,8,7.9,7.9,7.9,8.5,,7.9
21-Feb,8.3,8.1,8,7.2,8.4,8.5,8.1,7.7,8.4,,8.1
21-Mar,8.4,8.3,7.2,7.9,8.3,8.2,9.6,8.1,8.2,,8.2
21-Apr,7.8,7.8,7.1,7.6,8,7.6,8.4,7.9,8,,7.8
21-May,7.1,7.3,7,7.2,7.7,7,7.1,7.6,7.8,,7.3
21-Jun,7.7,9.9,10.2,11.9,8.1,10.3,9.6,8.3,7.7,,9.3
21-Jul,8.1,7.9,7.1,8.1,7.8,7.8,7.1,8.5,8.1,,7.8
21-Aug,7,7.2,7.2,7.8,7.4,7.9,7.2,,8,,7.5
21-Sep,6.8,7.6,7.9,9.3,8,5.4,6.9,9.1,7.9,,7.7
21-Oct,7.4,7.8,7.3,7.6,7.6,6.4,6.9,7.7,7,,7.3
21-Nov,6.8,7.7,7.2,6.9,7.5,7.3,7.3,7.2,7.7,,7.3
21-Dec,7.4,7.5,7.4,7,7.9,7.5,7.6,7.3,7.7,,7.5
22-Jan,7.5,7.5,7.4,7.5,7.8,7.6,7.7,7.5,7.6,,7.5
22-Feb,7.5,7.5,7.4,8,7.7,7.6,7.8,7.6,7.4,,7.6
22-Mar,6.8,7.6,7,7.6,7.6,7.2,7.3,7.3,7.6,,7.3
22-Apr,7.3,7.6,7.3,8.1,7.7,7.4,7.6,7.2,8.1,,7.6
22-May,6.8,7.3,7.8,7.2,7.5,6.8,6.6,7.9,8.2,,7.3
22-Jun,7,8.4,8.6,9,7.9,7.8,7.2,9.6,8.7,,8.2
22-Jul,8.8,10.4,10.6,8,7.6,9,7.6,9.5,10.6,,9.1
22-Aug,5.6,6.4,11,8.3,8.1,5.4,7.8,8.2,8.6,,7.7
22-Sep,7.1,8.2,6.9,10.1,9.1,7.6,7.7,9.2,9.4,,8.4
22-Oct,5.8,6.8,6.3,6.4,7.4,6.2,6.8,6.6,7.9,,6.7
22-Nov,6.5,6.9,6.8,8.1,7.8,5.7,7.2,8.1,7.2,,7.1
22-Dec,6.9,7,7.3,7.2,7.1,7.1,6.6,7.2,7.8,,7.1
